CGPA,Study_Hours,Placement_Package
6.87,2.67,16.14
9.75,5.88,26.47
8.66,8.86,29.25
7.99,7.59,27.38
5.78,8.26,24.7
5.78,6.93,19.54
5.29,7.23,23.49
9.33,8.64,30.28
8.01,3.25,21.0
8.54,5.4,23.46
5.1,2.99,9.75
9.85,9.89,35.31
9.16,9.5,33.06
6.06,1.35,13.92
5.91,7.35,22.1
5.92,9.33,25.59
6.52,2.63,13.99
7.62,6.11,22.89
7.16,9.24,28.64
6.46,1.31,12.76
8.06,7.28,26.98
5.7,3.68,14.04
6.46,9.32,26.61
6.83,9.74,26.93
7.28,9.5,24.41
8.93,5.27,27.93
6.0,8.76,22.52
7.57,8.6,25.46
7.96,3.87,22.15
5.23,8.46,24.28
8.04,1.33,16.58
5.85,6.37,20.69
5.33,3.07,16.04
9.74,2.09,24.56
9.83,1.69,23.19
9.04,7.27,27.7
6.52,4.06,17.31
5.49,7.52,21.48
8.42,1.59,17.6
7.2,3.84,14.27
5.61,5.86,20.27
7.48,8.12,28.07
5.17,3.87,11.16
9.55,6.63,26.65
6.29,8.97,26.11
8.31,6.54,30.07
6.56,3.1,17.85
7.6,1.22,16.09
7.73,8.83,27.35
5.92,1.19,16.73
9.85,8.87,30.92
8.88,5.76,24.54
9.7,9.45,31.69
9.47,8.19,28.63
7.99,9.98,30.0
9.61,4.16,28.84
5.44,7.9,22.34
5.98,4.62,18.06
5.23,5.32,17.32
6.63,6.65,19.44
6.94,8.86,27.86
6.36,9.86,26.02
9.14,7.91,29.12
6.78,4.76,26.81
6.4,4.79,20.26
7.71,7.64,24.62
5.7,3.15,15.21
9.01,1.99,23.8
5.37,4.19,16.95
9.93,3.59,22.64
8.86,3.67,25.22
5.99,3.1,15.27
5.03,1.38,16.1
9.08,1.16,22.74
8.53,9.89,29.88
8.65,4.85,27.03
8.86,4.46,24.54
5.37,7.12,22.24
6.79,2.96,19.08
5.58,9.55,22.44
9.32,8.08,28.79
8.12,1.8,21.45
6.65,4.76,19.48
5.32,8.91,21.95
6.55,9.5,24.19
6.63,5.21,21.54
8.65,6.52,30.77
8.19,2.5,18.31
9.44,9.92,32.77
7.36,3.09,22.3
5.6,9.48,23.92
8.57,6.85,27.81
8.8,6.47,24.77
7.81,5.61,24.55
8.85,3.08,22.21
7.47,2.59,21.03
7.61,2.98,22.23
7.14,2.68,23.66
5.13,8.02,22.36
5.54,4.15,17.68
5.16,1.52,13.2
8.18,9.72,29.11
6.57,8.95,26.11
7.54,9.35,27.4
9.54,9.95,33.31
6.25,2.57,19.1
7.05,4.57,18.73
8.78,7.82,30.88
6.14,7.26,24.97
5.38,2.39,14.17
6.45,8.34,20.14
5.81,3.02,14.91
9.65,3.01,26.77
9.04,5.83,26.52
8.17,6.34,23.4
9.36,6.22,26.73
9.02,1.82,22.99
5.93,8.9,25.12
9.46,3.39,23.8
7.7,2.17,18.26
9.04,9.0,29.9
9.48,9.6,30.54
6.59,8.76,28.46
5.55,8.29,21.79
6.14,6.9,24.3
7.14,5.96,25.78
9.09,1.78,23.4
9.3,4.68,24.75
5.03,4.35,17.03
7.55,3.34,20.15
7.09,7.51,22.84
6.11,5.46,20.58
